Name,Day of Week,Time,Recurring
Ténicas - Codo,Monday, 6:30 AM,true
Tecnicas - Codo,Tuesday, 6:30 AM,true
Técnicas - rodilla,Wednesday, 6:30 AM,true
Tecnicas – rodilla,Thursday, 6:30 AM,true
Técnicas - Jab,Friday, 6:30 AM,true
Técnicas - Jab,Saturday, 6:30 AM,true
Sparring,Monday, 7:30 AM,true
Sparring,Tuesday, 7:30 AM,true
Condicionamiento,Wednesday, 7:30 AM,true
Condicionamiento,Thursday, 7:30 AM,true
Fortalecimiento,Friday, 7:30 AM,true
Fortalecimiento,Saturday, 7:30 AM,true
Sparring,Monday, 8:30 AM,true
Sparring,Tuesday, 8:30 AM,true
Tecnicas – Codo,Wednesday, 8:30 AM,true
Tecnicas – Codo,Thursday, 8:30 AM,true
Tecnicas – Jab,Friday, 8:30 AM,true
Tecnicas – Jab,Saturday, 8:30 AM,true
Avanzado-Estrategia,Monday, 9:30 AM,true
Avanzado-Estrategia,Tuesday, 9:30 AM,true
Avanzado- Estilo,Wednesday, 9:30 AM,true
Avanzado- Estilo,Thursday, 9:30 AM,true
Avanzado- Alcance,Friday, 9:30 AM,true
Avanzado- Alcance,Saturday, 9:30 AM,true
Tecnicas principiantes,Monday, 4:30 PM,true
Tecnicas principiantes,Tuesday, 4:30 PM,true
Ejercicios fortalecimiento,Wednesday, 4:30 PM,true
Ejercicios fortalecimiento,Thursday, 4:30 PM,true
Sparring,Friday, 4:30 PM,true
Sparring,Saturday, 4:30 PM,true
Avanzado-Estrategia,Monday, 5:30 PM,true
Avanzado-Estrategia,Tuesday, 5:30 PM,true
Avanzado- Estilo,Wednesday, 5:30 PM,true
Avanzado- Estilo,Thursday, 5:30 PM,true
Avanzado- Alcance,Friday, 5:30 PM,true
Avanzado- Alcance,Saturday, 5:30 PM,true
Sparring,Monday, 6:30 PM,true
Sparring,Tuesday, 6:30 PM,true
Condicionamiento,Wednesday, 6:30 PM,true
Condicionamiento,Thursday, 6:30 PM,true
Fortalecimiento,Friday, 6:30 PM,true
Fortalecimiento,Saturday, 6:30 PM,true
Open Class,Wednesday, 7:30 PM,true
Intermediate Class,Saturday, 7:30 PM,true
Expert Class,Tuesday, 8:30 PM,true
